name                                            cycles_per_byte  cycles_per_byte_err             gb_per_s         gb_per_s_err 
"simdjson                                "                2.632                0.149                0.839                0.045 
"RapidJSON                               "                6.302                0.122                0.350                0.007 
"RapidJSON (insitu)                      "                6.175                0.042                0.358                0.002 
"sajson (dynamic mem)                    "                4.982                0.468                0.443                0.038 
"sajson                                  "                3.863                0.090                0.571                0.013 
"dropbox (json11)                        "               31.459                9.008                0.070                0.016 
"fastjson                                "               12.265                1.579                0.180                0.021 
"gason                                   "                3.384                0.710                0.652                0.113 
"ultrajson                               "                5.923                0.966                0.373                0.052 
"jsmn                                    "               16.253                0.172                0.136                0.001 
"cJSON                                   "               31.900                2.165                0.069                0.004 
"jsoncpp                                 "               68.374                3.505                0.032                0.002 
