name                                            cycles_per_byte  cycles_per_byte_err             gb_per_s         gb_per_s_err 
"simdjson                                "                3.598                0.050                0.947                0.013 
"RapidJSON                               "                7.647                0.033                0.446                0.002 
"RapidJSON (insitu)                      "                7.592                0.014                0.449                0.001 
"sajson (dynamic mem)                    "                6.743                0.145                0.505                0.011 
"sajson                                  "                4.923                0.038                0.692                0.005 
"dropbox (json11)                        "               43.819                5.077                0.078                0.008 
"fastjson                                "               15.254                0.350                0.223                0.005 
"gason                                   "                4.381                1.065                0.778                0.152 
"ultrajson                               "                9.355                0.017                0.364                0.001 
"jsmn                                    "               19.520                0.080                0.175                0.001 
"cJSON                                   "               44.994                2.031                0.076                0.003 
"jsoncpp                                 "               88.703                1.689                0.038                0.001 
