name                                            cycles_per_byte  cycles_per_byte_err             gb_per_s         gb_per_s_err 
"simdjson                                "                2.330                0.021                1.462                0.013 
"RapidJSON                               "                5.043                0.027                0.676                0.004 
"RapidJSON (insitu)                      "                5.084                0.013                0.670                0.002 
"sajson (dynamic mem)                    "                5.308                0.338                0.642                0.038 
"sajson                                  "                3.476                0.020                0.980                0.006 
"dropbox (json11)                        "               22.555                0.068                0.151                0.000 
"fastjson                                "               10.620                0.126                0.321                0.004 
"gason                                   "                3.229                0.525                1.055                0.148 
"ultrajson                               "                5.250                0.032                0.649                0.004 
"jsmn                                    "               32.839                0.074                0.104                0.000 
"cJSON                                   "               26.019                0.107                0.131                0.001 
"jsoncpp                                 "               47.332                3.313                0.072                0.005 
