#jsonexamples/apache_builds.json
"apache_builds"	0.006749	0.614920	0.780829	1.404526	2.638371	6.021147	4.738812
#jsonexamples/canada.json
"canada"	0.000394	0.738240	3.165295	3.904282	0.945530	5.000846	1.166229
#jsonexamples/citm_catalog.json
"citm_catalog"	0.000499	0.580693	0.657424	1.238784	2.980646	6.358735	5.615718
#jsonexamples/github_events.json
"github_events"	0.012267	0.577949	0.711401	1.302064	2.855414	6.428980	5.214732
#jsonexamples/gsoc-2018.json
"gsoc-2018"	0.000439	0.506285	0.505394	1.012945	3.644941	7.292310	7.305196
#jsonexamples/instruments.json
"instruments"	0.004307	0.631098	0.867032	1.503072	2.460400	5.859487	4.264981
#jsonexamples/marine_ik.json
"marine_ik"	0.000426	0.844117	3.038339	3.888602	0.948180	4.373352	1.213057
#jsonexamples/mesh.json
"mesh"	0.001346	0.766587	3.223999	3.994520	0.924390	4.818359	1.145168
#jsonexamples/mesh.pretty.json
"mesh.pretty"	0.000582	0.605758	1.864198	2.470588	1.491619	6.094967	1.975477
#jsonexamples/numbers.json
"numbers"	0.005962	0.642742	2.930231	3.579434	1.032440	5.756730	1.260349
#jsonexamples/random.json
"random"	0.001798	0.948080	1.238303	2.190191	1.686437	3.895396	2.981822
#jsonexamples/twitter.json
"twitter"	0.001693	0.703922	0.752134	1.460822	2.528852	5.246536	4.910196
#jsonexamples/twitterescaped.json
"twitterescaped"	0.001783	0.662521	2.312670	2.980795	1.238866	5.575130	1.596389
#jsonexamples/update-center.json
"update-center"	0.001907	0.722310	1.051542	1.778762	2.076667	5.113976	3.512163
